Dataseed	use_training_form	n_task_use_aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
1	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	35.71	67.86	75.0	60.71	65.62	70.83	70.0	17	0.6785714285714286	0.5982142857142857	35.639	e41062d5df0c262e58340aa909f323a19b40de1a06622a799d56981e4088de6e	32.14	66.07	64.29	67.86	66.67	65.52	65.45	9	0.6785714285714286	0.5982142857142857	7.188	ae3cfca7d39392bfde018239159864fed56f4b5a73af6235c564879339cd95d8	39.29	69.64	78.57	60.71	66.67	73.91	72.13	17	0.6785714285714286	0.5982142857142857	7.849	8ac6d540a248281173ddb84d17d6499563254ee6198a65191da2540ec8a6cc78	32.14	66.07	64.29	67.86	66.67	65.52	65.45	9	0.6785714285714286	0.5982142857142857	6.762	ae3cfca7d39392bfde018239159864fed56f4b5a73af6235c564879339cd95d8	46.43	73.21	78.57	67.86	71.11	75.99	74.6	0.0	148160.0	0.003188775510204087	0.0007971938775510217	0.0006377551020408157	0.0031887755102040826	0.0012624329993263074	0.000550584887262704	0.0004961731071291143	0.0	910.7999999999997	0.0	("a64e48c50203f33efaa62b8162f848f1000038d85c09013b118459ab6b69a5a5", "7b5b93b0e3365cef27a87a679cfa678d58d818ceecbf0e552edfb3183b25940a", "4bc12623760be2c7ffd39ed050dcbabd4e9be56ba2819ed970e68de380007533", "b9fe2eb30fb7e8af7513c8bf08c965855a159dafce17b0aedb755d7c9c0f6809", "01586baf4fd72054776396f4cecc0268f9acbec0c01e5b0665828d07975bfc53")	50.0	75.0	79.29	70.71	73.12	77.29	76.06	23.72	296280.0	0.0031887755102040826	0.0007971938775510206	0.00025510204081632634	0.0021683673469387738	0.0010968082755884847	0.0004846431441303238	0.0005380901187384252	0.0002799749393061316	1829.2	601.171	("9ede81dcd8f2f101ed274e2e39cf398d3c7190d6593d024fd43c63187d2e1727", "047bcbe5467462292957438d7a49e770ba43e9d8c65b79fcd727fe564e7abf0a", "828dd9707b2ee4abe6964c61499b86a353c2b21bb4e94850a062a522a7cfd2c4", "ee405ecafcf3620f36525d14141db03a33af2142a34d6f85ee6e9ab66392132c", "d8b1a373d4ceccdabad8d486a5fcdd2df6c9e958a9b3b59948ceb5a7f0a38bee")	
2	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	25.0	62.5	64.29	60.71	62.07	62.96	63.16	25	0.6880952380952382	0.5791666666666667	16.139	55f925c26d358ca37ac2e6100a6a060062e48736a9f8cbbbc55f8b1ade5e5d68	35.71	67.86	60.71	75.0	70.83	65.62	65.38	13	0.6038819875776397	0.5676630434782608	6.445	7e39eaed75a19a2cf721cd299f76fa497196930495ab1cfe108a39bbf0f63576	25.0	62.5	64.29	60.71	62.07	62.96	63.16	25	0.6880952380952382	0.5791666666666667	8.124	55f925c26d358ca37ac2e6100a6a060062e48736a9f8cbbbc55f8b1ade5e5d68	35.71	67.86	60.71	75.0	70.83	65.62	65.38	13	0.6038819875776397	0.5676630434782608	6.474	7e39eaed75a19a2cf721cd299f76fa497196930495ab1cfe108a39bbf0f63576	34.29	67.14	70.71	63.57	65.98	68.57	68.23	0.0	150480.0	0.008035714285714288	0.0020089285714285717	0.0034438775510204104	0.0021683673469387785	0.0017004045568680397	0.002516335478989123	0.002223984027640669	0.0	467.19999999999993	0.0	("d2beda23aeb46964c1add08e4088b8a487c873d7b20b3c5ca74d40e1671c5372", "9b1859b9c340dcb28502e45a87c88172af9e53512c353bdd9d951e6a9a881e03", "9dc24f1ba7f3dd28c992d05569844d0eb4d9e05163f132ff3a701e111c62c8fb", "fd8f2d8566b78a3a9e2680eaec0847226d1d6bba649d71d9cb99753d92ef2e2e", "f7fbd15f2b1b53eb18818fa41cb0b9158ff257ff1a163526c8c4de37059f959c")	39.29	69.64	75.0	64.29	67.73	72.05	71.17	29.56	298840.0	0.003188775510204079	0.0007971938775510197	0.0012755102040816315	0.0006377551020408177	0.0005745787085212175	0.0012164497041420113	0.0008130613656476661	1.3705066959041471e-5	242.8	601.288	("11ab1e96d64ad9e58871f2db6b4168a96ccede301da72d284bcd5a89f3e86e07", "fe17a16c4b91af226711b0ea3046bfb49490d82c5ee81389b6c6ddcf730a7ff4", "de9b4baf133efa4ecf2dc822fead8836ca082efbf6b5913438a7d7938e739b1b", "ec374ea4566e790d4239636abcf6def44ad8997a358b7fc54d4884547fb23a35", "a85a6e8e26b463fcb855adaec9dbb5ca76d4c2dd214b995f70d7f7f6bf071fbf")	
3	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	14.29	57.14	46.43	67.86	59.09	55.88	52.0	11	0.5976190476190476	0.5458333333333334	7.511	10e0b1eacfe9d3534b8fe8a10f8fec72be1cab359085db3fc913d826fc39428c	14.29	57.14	42.86	71.43	60.0	55.56	50.0	5	0.6152255639097745	0.5634868421052632	4.279	a788b04a71c32480345973deb418e28fdcec6331fdb58e642392558629398cba	14.29	57.14	46.43	67.86	59.09	55.88	52.0	9	0.5976190476190476	0.5458333333333334	4.927	901c56712fb4e9eca8fdb0c5dd1d6499f00949980bd626a1acfe5bfe5b3819db	14.29	57.14	42.86	71.43	60.0	55.56	50.0	5	0.6152255639097745	0.5634868421052632	4.261	a788b04a71c32480345973deb418e28fdcec6331fdb58e642392558629398cba	31.43	65.71	50.71	80.71	72.7	62.05	59.69	0.0	149520.0	0.004719387755102042	0.001179846938775511	0.0008928571428571421	0.002933673469387753	0.003191650973485944	0.0006012308312835601	0.0012175286912707172	0.0	809.1999999999999	0.0	("e0cd22a2497181993a9e4a47cb1f462b201e9ff95968371bb2151981c8aa652c", "66c7846110fe45bb7304c0ea8fcb89009ad460a47629df97583209652eef3159", "ed26c5611edb366e6191f4d6b2533185de007e62a848e6ba75995be413233626", "935f5f0411750f1d0c42012239849c022236849bd2b244432eb5563bf44eb9e2", "b59e8a7ca28a3d2bf6325c2862af0fa18ef9150481382a76d407ebc0578fd683")	31.43	65.71	48.57	82.86	74.18	61.68	58.64	25.42	297000.0	0.004719387755102038	0.00117984693877551	0.0010204081632653053	0.0028061224489795925	0.0038286556452646436	0.0005598026520677289	0.0013805232517987958	0.00013041132604136725	790.0	560.035	("308e1a927fda51b1c88ee9f5cd14c4e92b2962435473488d217ee93b8679c7a2", "07585c683daf280448e339ed48defe95645169d3875eb27e20295f5eff9346dd", "36078393d16d160a15a005120f5eb3ff6a9c3288d1a60559c4889ce0829c34d0", "fb5081e0612203b3933185397aff46006a26269444f6147d6b8afc6a5f0bb00e", "48eef942e8203246c1b4eef9b6a3d7b918577e61a743f775c16bfc4042ad9aca")	
4	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	17.86	58.93	50.0	67.86	60.87	57.58	54.9	29	0.6071428571428572	0.546875	11.231	359dfe8f9d65975a980525302720b73d8df8cf1d1b4c6624ecba4039f37589ae	25.0	62.5	46.43	78.57	68.42	59.46	55.32	15	0.6240259740259739	0.5806818181818182	8.845	8922b7d0e20174d1990e41459f3b0c8db97a5b39c3e6900f58b7efbd4256f0a8	17.86	58.93	50.0	67.86	60.87	57.58	54.9	29	0.6071428571428572	0.546875	9.36	104ab86eb280ffe28d27f66971f53d47232cb11030d08208a5a022a6318d4b55	25.0	62.5	46.43	78.57	68.42	59.46	55.32	15	0.6240259740259739	0.5806818181818182	8.81	8922b7d0e20174d1990e41459f3b0c8db97a5b39c3e6900f58b7efbd4256f0a8	47.86	73.93	73.57	74.29	74.14	73.75	73.84	0.0	150280.0	0.0042091836734693905	0.0010522959183673476	0.0010204081632653053	0.0015306122448979578	0.0011790269755088643	0.0009950348121711256	0.0009909337543614625	0.0	637.1999999999999	0.0	("6d3000c8637f4bcc6ed87818084767ae87358e5637cf8cb38b35a86cee5339b6", "56000750a1bf62d5768fda1092e2a32401c6f973bdb1fd644e9e37f7c5c56a6c", "b1bfcc991f5b9157702f5a2a08901582cf781adccc96b916e6bf0d79054f59ee", "d8ce2e787af8f243864cc69739b1c83a229258a4ab41f21af594b3762dc909e8", "537309048252493b14136c24fcff96e3f2222c6ecfa604d8cedb604d66d41b37")	48.57	74.29	75.0	73.57	74.04	74.6	74.49	27.52	298240.0	0.001658163265306125	0.00041454081632653125	0.0	0.001658163265306121	0.0008695079344108289	0.00011272863305530311	0.0002247654469610115	0.0002878064061398709	1058.8	570.19	("95abdb335ddcc4f38b1815c0e2623e6fdd8da24a0271f4bebba6c41e67561efb", "771ba26a260f085c1dce7e699c89282d36ce3f5757b268672556d58b773fffde", "f26fa255b4f217cc801baba53476f609cc96f0357550e4d14e2bdb58daf096d8", "0af004fafafd53744e1126b5e53e248a2151f83cd542a8ce51ad7e8753883279", "e086c2736f074bde2e37b5a872b3aaa5a26e508b0b0f5cd015661b0b87da4a62")	
5	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	25.0	62.5	60.71	64.29	62.96	62.07	61.82	15	0.5976190476190476	0.5458333333333334	9.365	b54cfa552f613a35bce7bf68253d362b848df7b3594893b75263bfa6bc2e56bc	21.43	60.71	57.14	64.29	61.54	60.0	59.26	13	0.5731203007518797	0.5292763157894737	8.019	7ffbc359ec424f52dc19db72b242fae4d3848f090bc8cd3df12a17cb25fd8fff	25.0	62.5	60.71	64.29	62.96	62.07	61.82	15	0.5976190476190476	0.5458333333333334	8.145	b54cfa552f613a35bce7bf68253d362b848df7b3594893b75263bfa6bc2e56bc	21.43	60.71	57.14	64.29	61.54	60.0	59.26	13	0.5731203007518797	0.5292763157894737	8.1	7ffbc359ec424f52dc19db72b242fae4d3848f090bc8cd3df12a17cb25fd8fff	36.43	68.21	59.29	77.14	72.52	65.47	65.06	0.0	150000.0	0.005994897959183667	0.0014987244897959168	0.0029336734693877556	0.004846938775510201	0.003206137461971861	0.0009755964244448404	0.001862997116978665	0.0	1434.0	0.0	("84f0ce2a20aebb7f6ee00a04b93c377705d9722f6f0c27267d3cbd20222ebdcd", "32787bb7b1940223a321334b84d7e3a7e4ab3cad6b81f2160d6c2a7b2f5a0f91", "182ebf64cf1e2c27b69d7106f85bd54ba5485683c4d736c85b03ff6cb85472b0", "de543d254a430f182432033d1160495ee913d0acdf10bad71cbc2e1e5489a857", "861a9dc8bfb915358df42e5eb019677b7648b50f900d4608180fe4341150ce8b")	38.57	69.29	60.71	77.86	73.5	66.5	66.37	23.83	297440.0	0.0002551020408163247	6.377551020408118e-5	0.0012755102040816354	0.0021683673469387733	0.0008781034469245684	7.081625574267136e-5	0.00012140426240460817	5.596791612402345e-5	2212.7999999999997	575.724	("ba4fd14794a606403e8dccac2252673bd4258644e04b8a522f68c0a1b32b1886", "844fcf6f933cad691d7b051810f889b95c63eed6082233b9c92733d6fe948d57", "953e5d495c4304f332aa227abc0b6954c85fc43d6365314491609276f9910bf3", "adf572c86b7df6cf51ae17b1fe7f2748194aea09b5d6b3ce121f253def84fa3c", "5748bea186677d28da8bf4187b02e87d672890076e558386bfde8dfae952a13c")	
6	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	50.0	75.0	78.57	71.43	73.33	76.92	75.86	23	0.746904761904762	0.6570833333333334	5.248	577002fade8fa351faf24f51c7cd4e983aa81007fe70e75258e2424759b83559	46.43	73.21	75.0	71.43	72.41	74.07	73.68	7	0.730952380952381	0.6541666666666668	3.687	ba55eebcb5514c628b39325b6583f4258bbffea6b42cb70573fdff416f90aab1	53.57	76.79	82.14	71.43	74.19	80.0	77.97	19	0.746904761904762	0.6570833333333334	4.559	76fa0735b49474174b5714813a260a8c7d70ed0d39fa9a565302513ac04138b6	46.43	73.21	75.0	71.43	72.41	74.07	73.68	7	0.730952380952381	0.6541666666666668	3.682	ba55eebcb5514c628b39325b6583f4258bbffea6b42cb70573fdff416f90aab1	53.57	76.79	79.29	74.29	75.52	78.33	77.32	0.0	151920.0	0.003188775510204087	0.0007971938775510216	0.0021683673469387733	0.0008928571428571421	0.0006149289898055006	0.0016049472299207751	0.0009218383754462777	0.0	281.19999999999993	0.0	("e85e7591099355ac027767cfaac75b34cb12a64a1b2517ed1f36689a92df6fd9", "49b44cb514ef44928f6804c04045542e44cd028d7cfe2615c5dc3bf5899ad02f", "6c25e778a56fdf93df41d6631dd43919f3a805d4a40f72129e9b72f4ae6dc97f", "cdb59cf52725eaf62e293640e1c5611c78786ae94fc4c6bd02eef65fb00d6043", "e8c2fa6fed0fc47a1dd58d0ed4a23b79e76c6294a0ce65a0826374cacc42c50c")	50.71	75.36	77.86	72.86	74.16	76.75	75.94	26.64	300800.0	0.0008928571428571476	0.0002232142857142869	0.000892857142857142	0.0003826530612244894	0.00018340947638300633	0.0005467934513518572	0.00029133266888802564	7.244106821207635e-5	1106.0	567.004	("2973177731950938b6206a6fc366a5456dc1fa0010e1ee65cb3e62ab6c756023", "cad19001f33a1970c4b65d3235708a9dca25aa9d27688140ed5112b59020f577", "4c84c418164fd39863e20bea9062cb99b719feff0617429a42f301715a78cf02", "e05bd102db4669e388b6ca4f736b67104248135ddfd294125f11ab5f7bd300f2", "6697df6e749a5c52949e00538c6859e215836990c2061a5a018b1144deb17e17")	
7	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	21.43	60.71	75.0	46.43	58.33	65.0	65.62	37	0.5761904761904761	0.5083333333333333	10.881	8184426d6bdf0a2914c20c27c1e7a7325dcad94b2e8763978c78c422f659e2e7	25.0	62.5	64.29	60.71	62.07	62.96	63.16	19	0.6083333333333333	0.5645833333333333	9.195	1cb5e87a574992a0d39d36b16b3eb255150abc876a76af418d482e45cc548316	14.29	57.14	67.86	46.43	55.88	59.09	61.29	37	0.5761904761904761	0.5083333333333333	9.384	6dbf5daae0288f2cc43222958de7a6dc7240aa9f8bfddd40d04be5fb0e663584	25.0	62.5	64.29	60.71	62.07	62.96	63.16	19	0.6083333333333333	0.5645833333333333	8.972	1cb5e87a574992a0d39d36b16b3eb255150abc876a76af418d482e45cc548316	47.14	73.57	79.29	67.86	71.12	76.87	74.93	0.0	151880.0	0.0066326530612244965	0.0016581632653061241	0.004081632653061227	0.0012755102040816315	0.0009467930877267512	0.003739847641049609	0.0017912527402205657	0.0	41.2	0.0	("5e8ae6b83935c7acde7ba2ae333f6a90547fc9b123410279c9c0c4155dad1f07", "024b09435b455df64256eb9589baa0617896556c1ca38da72c66b0e7c96f1d35", "85a490d9f791e5f144a6bdf0445d3ae27411ee3d572f9de6ddeb7d8438480729", "1178e5c7ab0a2bf81ef2fc77797f102acfcbcafcb91bd55b658e21799dbb6286", "4f321d55e38e6670cb823c6cafc714e83076614d30babe7a571b129d6e1ec19e")	52.14	76.07	81.43	70.71	73.55	79.43	77.23	28.67	306240.0	0.008035714285714287	0.0020089285714285717	0.0040816326530612205	0.0021683673469387738	0.0016005171158127596	0.0033864466245080087	0.0021614549790653754	0.00013117706946511122	974.8	579.649	("b77f50a30828e8f6fd158308e98e22126882807b649fd0fe786058c20342e90d", "f53552f90f0217391ff13304203f36bca6426ef0dd722de076bf9d0c8c8d2ee8", "61b12285b905e8cc939039f7a4906db40f8562b68c4f7fb16ad54c8e9d164cda", "e29e87c61c07a60c41db4b2a379888321c19d452cd1d2d55c2b84acf4a748f20", "07960a2ed235703311d18c84a0cd8797c2029808e2581d458e8e2f29d05f4733")	
8	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	25.0	62.5	67.86	57.14	61.29	64.0	64.41	29	0.6880952380952382	0.5791666666666667	12.717	ce1b2f597ab8bdea74ffe4fc624c6bee6907946b325707316c5eb024e57d2eca	25.0	62.5	53.57	71.43	65.22	60.61	58.82	17	0.6386645962732919	0.5959239130434782	10.912	12add04acac3afaaaf185bb89459fa482983b6aac7539c0f54a39c74d0df966c	25.0	62.5	67.86	57.14	61.29	64.0	64.41	29	0.6880952380952382	0.5791666666666667	11.579	dad4185b92559c51aeb0cd7b0caa8fc6e78ad802c488ce63c5df3c5ad3d4e4de	25.0	62.5	53.57	71.43	65.22	60.61	58.82	17	0.6386645962732919	0.5959239130434782	10.853	12add04acac3afaaaf185bb89459fa482983b6aac7539c0f54a39c74d0df966c	35.71	67.86	58.57	77.14	72.35	65.02	64.58	0.0	150280.0	0.007653061224489794	0.001913265306122448	0.0022959183673469403	0.006122448979591832	0.004270947061952352	0.0011147511769273703	0.0018722664927072756	0.0	209.2	0.0	("2ef9e5afacfb1b055ca54ebf9237f066f0ae786f3bdbc4143185f53d4cfc5a7c", "1700dc2959ef8143d6aa8237a16d2055dc2668756ae6dd2b0b873655be6085b3", "9338e2731732d65f980acc09c102ab71d832e5146607af79652fae0f446c4603", "1429ee9bfa3055912c837ecb7d5db2a8466e69d955ab7773d58ccd4e67e7e884", "66e050238581e3763cb74902e88aa0ccaab78917c9316a38cf450cef81afd7be")	35.71	67.86	61.43	74.29	70.72	65.86	65.63	27.61	298560.0	0.009566326530612242	0.00239158163265306	0.0034438775510204117	0.004719387755102037	0.004427761387844271	0.0017576105626930499	0.0028229141736141965	0.00024081760513744303	1844.7999999999997	581.754	("a5b904c5d6080b2217fdaeaaa6fb1bc9fa887e4f4907ddd3154b26e74f1f949b", "7b1a10d3ad9b439dc2ee2019900bd0eff95acb33f6f52ba532dfccbf75190767", "0e1774e1d73182d08e17fba0e3ac80f2f89cc951e1e093613d3bb43718adcd8c", "3a27692782d2f1c50d9097fe701d5fad922d97d47094f8869b8cc0bb315cf8a3", "a7ed231edf014609bd00cd830470c06e67ca15adcf6da2f618b3bf0948d47591")	
9	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	17.86	58.93	64.29	53.57	58.06	60.0	61.02	25	-Inf	-Inf	7.293	c79960ddde8d7d2a948ca53ea0d20bbe1cd0a6fde760e61ac5780ae7390ff359	17.86	58.93	53.57	64.29	60.0	58.06	56.6	11	-Inf	-Inf	5.969	07d1c27216bbeddc62bdbe02ee9aa424ef87b665bd9a0496bbc97a96301e9920	14.29	57.14	71.43	42.86	55.56	60.0	62.5	27	-Inf	-Inf	6.767	4febd659d1973137a7aa42907c807cc1b74ba74b721754e8a92ef293f5150a7d	17.86	58.93	53.57	64.29	60.0	58.06	56.6	11	-Inf	-Inf	5.954	07d1c27216bbeddc62bdbe02ee9aa424ef87b665bd9a0496bbc97a96301e9920	31.43	65.71	60.71	70.71	67.42	64.36	63.86	0.0	144080.0	0.002168367346938769	0.0005420918367346922	0.0019132653061224513	0.0002551020408163263	0.000357971769709662	0.0007302091225518856	0.0009757687095876239	0.0	169.2	0.0	("aee95cb5662ed39732cb811cb6a028336813198d69e8b3bd1f54daf1cbfe2596", "c122bf7e0f1f059ad39d933a3f384c46c36c62339ea7eb0b77a47c6594b8dcd0", "61bdb5bee49e3df7b2e012b6fb13778a15dc3a09f6faab0c3346f5397cd1564e", "0bdd689ffd786ca7d7acf7437c447589015a7fc8f772dd28616e1619d2a900e2", "f97c2c04ec9c6f62ba64868b1b2f945ff9bc39dc38c916cafd3f1b164f883a83")	34.29	67.14	62.86	71.43	68.7	65.86	65.62	29.24	289120.0	0.0016581632653061193	0.00041454081632652984	0.0016581632653061254	0.0	0.00019945032913693905	0.0006010300964735263	0.0008263819601901235	0.006191154232521085	411.20000000000005	602.003	("f7b9e6246123ca75d2427798ae1cb922d4322b328f16625b41294dda1be60eca", "a1b5fc3bfc4c1b44dddb0fc857dd0921d1328e367864026a2fcc985bf8f5d868", "507805c87bc9f17f30ccb53d7655f8ec4880a0c96676af72a5ab316260ae0b63", "5dbeef610e9a8313c032e7240c983794ff93bd85b3beb537d4e4c4ae1eb13c9f", "95a7c56a77a9beb1cd9e46e461124ef6f92bb6f7859f25b789289240286a9457")	
10	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	46.43	73.21	78.57	67.86	70.97	76.0	74.58	25	0.7186507936507937	0.6743055555555555	11.036	79fa2a648501d79f5bb3837600140a4cb843a2e5454663bb7ccbfe9e4f748425	50.0	75.0	75.0	75.0	75.0	75.0	75.0	5	0.7000000000000001	0.6625000000000001	4.327	06c50dcd07e13172a0af62e573fcdb85f1a64e6a00d683dce4a02dea04b41e30	57.14	78.57	78.57	78.57	78.57	78.57	78.57	21	0.7186507936507937	0.6743055555555555	10.292	dbef2a1dc4cb7f89a9e8ecd7ade9529a483f8c3116a9ad542ed3e3b6eecfcec6	50.0	75.0	75.0	75.0	75.0	75.0	75.0	5	0.7000000000000001	0.6625000000000001	4.311	06c50dcd07e13172a0af62e573fcdb85f1a64e6a00d683dce4a02dea04b41e30	57.14	78.57	74.29	82.86	81.34	76.29	77.63	0.0	154840.0	0.0025510204081632673	0.0006377551020408168	0.00025510204081632634	0.0015306122448979576	0.001335635912046166	0.0003187831849860236	0.0005518898183337778	0.0	318.8	0.0	("d1e292c14d34cea126ba804080d2a5b2df4a7c71d7850f3a398b46af2a2cedb1", "92713bb39c4fe40e4ec3edfa2e0ca56b2208ad4dfa45d5123a71711dce53b555", "49f78f7a7f653d458bea5a8825dbab1334eba8a856d7ad2143e3d7df25458fef", "434abe03e49c2f8f48ad9c237c587dbfc79a76909eb5777d531e8c7f85e59273", "3590e62a94d08ea9f3a21e30d1c02b4ac4e2009a83b7ab4e672fd3b1967c8d41")	60.0	80.0	77.14	82.86	82.04	78.33	79.46	30.62	308680.0	0.004719387755102042	0.0011798469387755103	0.0003826530612244894	0.0034438775510204083	0.0026897089723463352	0.000503132366370065	0.0009369783158587477	0.0004640144098989736	485.20000000000005	552.582	("c8124113075bdbbae8f08fa968ff56ebe61685dc73896075f834cfb5175ba62e", "0f324f30e09989c68b99ea7293d6e169b5a4bbf738f2a7741b9f77bbf1696dd7", "23efc0608c04a11e2dd81c1c643a038b378cff61a4e842b2337ee3e9a2bf94a0", "d5ec53c271053afeb1a593118996a91143bdfce243faa358c9f75ca35387d675", "6457deb3c008090e17569ba0602e0ed665c0881c4205f37c8178d82cab193572")	
