	use_training_form	n_task	aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	Model	accuracy
0	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	71.42699999999999
1	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	71.143
2	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(1.0,100,half,all)	70.82199999999999
3	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(1.0,50,half,all)	70.85799999999999
4	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	65.535
5	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	65.535
6	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	71.428
7	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	70.75
8	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(1.0,100,half,all)	70.321
9	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(1.0,50,half,all)	70.75
10	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	65.179
11	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	65.179
12	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	68.178
13	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	67.857
14	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(1.0,100,half,all)	68.287
15	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(1.0,50,half,all)	68.393
16	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	60.71500000000001
17	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	60.536
18	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	68.324
19	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	68.46499999999999
20	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(1.0,100,half,all)	69.10800000000002
21	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(1.0,50,half,all)	68.358
22	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	64.999
23	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	64.999
24	stump_with_memoization	1	0	3	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	71.822
25	stump_with_memoization	1	0	3	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	71.535
26	stump_with_memoization	1	0	3	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(1.0,100,half,all)	72.464
27	stump_with_memoization	1	0	3	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(1.0,50,half,all)	71.964
28	stump_with_memoization	1	0	3	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	69.108
29	stump_with_memoization	1	0	3	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	69.108
30	stump_with_memoization	1	0	3	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	70.39500000000001
31	stump_with_memoization	1	0	3	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	71.072
32	stump_with_memoization	1	0	3	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(1.0,100,half,all)	71.178
33	stump_with_memoization	1	0	3	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(1.0,50,half,all)	70.82300000000001
34	stump_with_memoization	1	0	3	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	64.644
35	stump_with_memoization	1	0	3	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	64.644
